audit_id,file_path,audit_name,category,category_number,subcategory,tier,status,automatable,severity,estimated_duration,requires_runtime,requires_physical_access,requires_human_evaluation,requires_interviews,discovery,prd,task_decomposition,specification,implementation,testing,integration,deployment,post_production
security-trust.authorization.bola-prevention,01-security-trust/authorization/bola-prevention.yaml,Broken Object Level Authorization (BOLA) Prevention Audit,security-trust,01,authorization,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.cross-tenant-isolation,01-security-trust/authorization/cross-tenant-isolation.yaml,Cross-Tenant Isolation Audit,security-trust,01,authorization,expert,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.default-deny,01-security-trust/authorization/default-deny.yaml,Default Deny Verification Audit,security-trust,01,authorization,phd,active,partial,critical,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.permission-boundary,01-security-trust/authorization/permission-boundary.yaml,Permission Boundary Audit,security-trust,01,authorization,phd,active,partial,high,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.privilege-escalation,01-security-trust/authorization/privilege-escalation.yaml,Privilege Escalation Path Audit,security-trust,01,authorization,phd,active,partial,critical,2.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.rbac-implementation,01-security-trust/authorization/rbac-implementation.yaml,Role-Based Access Control (RBAC) Implementation Audit,security-trust,01,authorization,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.resource-permission,01-security-trust/authorization/resource-permission.yaml,Resource-Level Permission Audit,security-trust,01,authorization,phd,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.certificate-management,01-security-trust/cryptography/certificate-management.yaml,Certificate Management Audit,security-trust,01,cryptography,phd,active,partial,high,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.crypto-library-vs-custom,01-security-trust/cryptography/crypto-library-vs-custom.yaml,Crypto Library vs Custom Implementation Audit,security-trust,01,cryptography,phd,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.cryptographic-agility,01-security-trust/cryptography/cryptographic-agility.yaml,Cryptographic Agility Audit,security-trust,01,cryptography,phd,active,partial,high,4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.encryption-at-rest,01-security-trust/cryptography/encryption-at-rest.yaml,Encryption at Rest Audit,security-trust,01,cryptography,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.encryption-in-transit,01-security-trust/cryptography/encryption-in-transit.yaml,Encryption in Transit Audit,security-trust,01,cryptography,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.hashing-algorithms,01-security-trust/cryptography/hashing-algorithms.yaml,Hashing Algorithm Audit,security-trust,01,cryptography,phd,active,partial,critical,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.hsm-kms-usage,01-security-trust/cryptography/hsm-kms-usage.yaml,HSM/KMS Usage Audit,security-trust,01,cryptography,phd,active,partial,high,4 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.key-management,01-security-trust/cryptography/key-management.yaml,Key Management Audit,security-trust,01,cryptography,phd,active,partial,critical,2.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.key-rotation,01-security-trust/cryptography/key-rotation.yaml,Key Rotation Audit,security-trust,01,cryptography,phd,active,partial,high,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.cryptography.random-number-generation,01-security-trust/cryptography/random-number-generation.yaml,Random Number Generation Audit,security-trust,01,cryptography,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.backup-security,01-security-trust/data-protection/backup-security.yaml,Backup Security Audit,security-trust,01,data-protection,phd,active,partial,critical,3-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.cross-border-data-transfer,01-security-trust/data-protection/cross-border-data-transfer.yaml,Cross-Border Data Transfer Audit,security-trust,01,data-protection,phd,active,partial,critical,4-6 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.data-access-logging,01-security-trust/data-protection/data-access-logging.yaml,Data Access Logging Audit,security-trust,01,data-protection,phd,active,partial,high,3-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.data-classification,01-security-trust/data-protection/data-classification.yaml,Data Classification Audit,security-trust,01,data-protection,phd,active,partial,high,2-3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.data-deletion,01-security-trust/data-protection/data-deletion.yaml,Data Deletion / Right to Erasure Audit,security-trust,01,data-protection,phd,active,partial,critical,3-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.data-export-security,01-security-trust/data-protection/data-export-security.yaml,Data Export Security Audit,security-trust,01,data-protection,phd,active,partial,high,3-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.data-masking,01-security-trust/data-protection/data-masking.yaml,Data Masking Audit,security-trust,01,data-protection,phd,active,partial,high,2-3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.data-retention,01-security-trust/data-protection/data-retention.yaml,Data Retention Audit,security-trust,01,data-protection,phd,active,partial,high,2-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.data-protection.pii-handling,01-security-trust/data-protection/pii-handling.yaml,PII Handling Audit,security-trust,01,data-protection,phd,active,partial,critical,2-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.command-injection,01-security-trust/input-validation/command-injection.yaml,Command Injection Audit,security-trust,01,input-validation,phd,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.deserialization-attack,01-security-trust/input-validation/deserialization-attack.yaml,Deserialization Attack Audit,security-trust,01,input-validation,phd,active,partial,critical,2.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.graphql-injection,01-security-trust/input-validation/graphql-injection.yaml,GraphQL Injection Audit,security-trust,01,input-validation,phd,active,partial,critical,2.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.header-injection,01-security-trust/input-validation/header-injection.yaml,Header Injection Audit,security-trust,01,input-validation,phd,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.ldap-injection,01-security-trust/input-validation/ldap-injection.yaml,LDAP Injection Audit,security-trust,01,input-validation,phd,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.mass-assignment,01-security-trust/input-validation/mass-assignment.yaml,Mass Assignment Audit,security-trust,01,input-validation,phd,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.nosql-injection,01-security-trust/input-validation/nosql-injection.yaml,NoSQL Injection Audit,security-trust,01,input-validation,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.path-traversal,01-security-trust/input-validation/path-traversal.yaml,Path Traversal Audit,security-trust,01,input-validation,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.prototype-pollution,01-security-trust/input-validation/prototype-pollution.yaml,Prototype Pollution Audit,security-trust,01,input-validation,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.sql-injection,01-security-trust/input-validation/sql-injection.yaml,SQL Injection Audit,security-trust,01,input-validation,phd,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.template-injection,01-security-trust/input-validation/template-injection.yaml,Template Injection Audit,security-trust,01,input-validation,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.xml-xxe-injection,01-security-trust/input-validation/xml-xxe-injection.yaml,XML/XXE Injection Audit,security-trust,01,input-validation,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.input-validation.xss-prevention,01-security-trust/input-validation/xss-prevention.yaml,XSS (Cross-Site Scripting) Audit,security-trust,01,input-validation,phd,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.ddos-protection,01-security-trust/network-security/ddos-protection.yaml,DDoS Protection Audit,security-trust,01,network-security,phd,active,partial,high,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.dns-security,01-security-trust/network-security/dns-security.yaml,DNS Security Audit,security-trust,01,network-security,phd,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.egress-control,01-security-trust/network-security/egress-control.yaml,Egress Control Audit,security-trust,01,network-security,phd,active,partial,high,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.firewall-rules,01-security-trust/network-security/firewall-rules.yaml,Firewall Rule Audit,security-trust,01,network-security,phd,active,partial,critical,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.internal-network-exposure,01-security-trust/network-security/internal-network-exposure.yaml,Internal Network Exposure Audit,security-trust,01,network-security,phd,active,partial,high,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.mtls-implementation,01-security-trust/network-security/mtls-implementation.yaml,mTLS Implementation Audit,security-trust,01,network-security,phd,active,partial,high,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.network-segmentation,01-security-trust/network-security/network-segmentation.yaml,Network Segmentation Audit,security-trust,01,network-security,phd,active,partial,critical,4 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.service-mesh-security,01-security-trust/network-security/service-mesh-security.yaml,Service Mesh Security Audit,security-trust,01,network-security,phd,active,partial,high,4 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.network-security.tls-configuration,01-security-trust/network-security/tls-configuration.yaml,TLS Configuration Audit,security-trust,01,network-security,phd,active,partial,critical,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.config-file-security,01-security-trust/secrets-management/config-file-security.yaml,Configuration File Security Audit,security-trust,01,secrets-management,phd,active,partial,high,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.environment-variable-security,01-security-trust/secrets-management/environment-variable-security.yaml,Environment Variable Security Audit,security-trust,01,secrets-management,phd,active,partial,high,1.5 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.hardcoded-secrets,01-security-trust/secrets-management/hardcoded-secrets.yaml,Hardcoded Secrets Audit,security-trust,01,secrets-management,phd,active,yes,critical,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.log-sanitization,01-security-trust/secrets-management/log-sanitization.yaml,Log Sanitization Audit,security-trust,01,secrets-management,phd,active,partial,high,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.memory-secret-handling,01-security-trust/secrets-management/memory-secret-handling.yaml,Memory Secret Handling Audit,security-trust,01,secrets-management,phd,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.pipeline-secrets,01-security-trust/secrets-management/pipeline-secrets.yaml,Build Pipeline Secret Audit,security-trust,01,secrets-management,expert,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.secret-access-logging,01-security-trust/secrets-management/secret-access-logging.yaml,Secret Access Logging Audit,security-trust,01,secrets-management,phd,active,partial,high,1.5 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.secret-rotation,01-security-trust/secrets-management/secret-rotation.yaml,Secret Rotation Audit,security-trust,01,secrets-management,phd,active,partial,high,1.5 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.secrets-management.secret-storage,01-security-trust/secrets-management/secret-storage.yaml,Secret Storage Audit,security-trust,01,secrets-management,phd,active,partial,critical,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.batch-vs-stream-processing,02-performance-efficiency/algorithmic-efficiency/batch-vs-stream-processing.yaml,Batch vs Stream Processing Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.compression-efficiency,02-performance-efficiency/algorithmic-efficiency/compression-efficiency.yaml,Compression Efficiency Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,medium,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.data-structure-choice,02-performance-efficiency/algorithmic-efficiency/data-structure-choice.yaml,Data Structure Choice Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.hot-path-optimization,02-performance-efficiency/algorithmic-efficiency/hot-path-optimization.yaml,Hot Path Optimization Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,high,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.lazy-loading,02-performance-efficiency/algorithmic-efficiency/lazy-loading.yaml,Lazy Loading Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,medium,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.pagination-strategy,02-performance-efficiency/algorithmic-efficiency/pagination-strategy.yaml,Pagination Strategy Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.serialization-efficiency,02-performance-efficiency/algorithmic-efficiency/serialization-efficiency.yaml,Serialization Efficiency Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.space-complexity,02-performance-efficiency/algorithmic-efficiency/space-complexity.yaml,Space Complexity Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.algorithmic-efficiency.time-complexity,02-performance-efficiency/algorithmic-efficiency/time-complexity.yaml,Time Complexity Audit,performance-efficiency,02,algorithmic-efficiency,expert,active,partial,high,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.browser-cache,02-performance-efficiency/caching/browser-cache.yaml,Browser Cache Audit,performance-efficiency,02,caching,expert,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.cache-hit-rate,02-performance-efficiency/caching/cache-hit-rate.yaml,Cache Hit Rate Audit,performance-efficiency,02,caching,expert,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.cache-invalidation,02-performance-efficiency/caching/cache-invalidation.yaml,Cache Invalidation Audit,performance-efficiency,02,caching,expert,active,partial,critical,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.cache-key-design,02-performance-efficiency/caching/cache-key-design.yaml,Cache Key Design Audit,performance-efficiency,02,caching,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.cache-size,02-performance-efficiency/caching/cache-size.yaml,Cache Size Audit,performance-efficiency,02,caching,expert,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.cache-stampede-risk,02-performance-efficiency/caching/cache-stampede-risk.yaml,Cache Stampede Risk Audit,performance-efficiency,02,caching,expert,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.cdn-cache,02-performance-efficiency/caching/cdn-cache.yaml,CDN Cache Audit,performance-efficiency,02,caching,expert,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.distributed-cache-consistency,02-performance-efficiency/caching/distributed-cache-consistency.yaml,Distributed Cache Consistency Audit,performance-efficiency,02,caching,expert,active,partial,critical,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.multi-layer-cache,02-performance-efficiency/caching/multi-layer-cache.yaml,Multi-Layer Cache Audit,performance-efficiency,02,caching,expert,active,partial,high,3 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.caching.ttl-configuration,02-performance-efficiency/caching/ttl-configuration.yaml,TTL Configuration Audit,performance-efficiency,02,caching,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.async-await-efficiency,02-performance-efficiency/concurrency-parallelism/async-await-efficiency.yaml,Async/Await Efficiency Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.backpressure-handling,02-performance-efficiency/concurrency-parallelism/backpressure-handling.yaml,Backpressure Handling Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.context-switching-overhead,02-performance-efficiency/concurrency-parallelism/context-switching-overhead.yaml,Context Switching Overhead Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,medium,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.deadlock-risk,02-performance-efficiency/concurrency-parallelism/deadlock-risk.yaml,Deadlock Risk Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.lock-contention,02-performance-efficiency/concurrency-parallelism/lock-contention.yaml,Lock Contention Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.parallel-processing-efficiency,02-performance-efficiency/concurrency-parallelism/parallel-processing-efficiency.yaml,Parallel Processing Efficiency Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.race-condition,02-performance-efficiency/concurrency-parallelism/race-condition.yaml,Race Condition Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.thread-safety,02-performance-efficiency/concurrency-parallelism/thread-safety.yaml,Thread Safety Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.concurrency-parallelism.worker-pool-sizing,02-performance-efficiency/concurrency-parallelism/worker-pool-sizing.yaml,Worker Pool Sizing Audit,performance-efficiency,02,concurrency-parallelism,expert,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.database-performance.connection-pool-sizing,02-performance-efficiency/database-performance/connection-pool-sizing.yaml,Connection Pool Sizing Audit,performance-efficiency,02,database-performance,expert,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
performance-efficiency.database-performance.database-configuration,02-performance-efficiency/database-performance/database-configuration.yaml,Database Configuration Audit,performance-efficiency,02,database-performance,expert,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
